district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500000005,GREEN CITY 3,GREEN SPACE INFRA VENTURES,441108,"('21.017065000000000','79.058966000000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,8120.96,1171.45,11566.5,10/14/2022,,,232.0,37.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,3.0,194.0,23.0
Nagpur,P50500002280,SHIVAM PARK,SAMBHAV INFRA,441108,"('21.056573000000000','79.071419000000000')",On-Going Project,12/31/2018,01/31/2019,,Residential,1502.45,0.0,1802.34,12/26/2018,,,37.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,4.0,1.0
Nagpur,P50500000348,ROYAL RESIDENCY,DESIGN DEVELOPERS PRIVATE LIMITED,440015,"('21.101756000000000','79.073969000000000')",New Project,11/30/2020,,,Residential,456.64,0.0,589.74,08/05/2021,,,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,5.0
Nagpur,P50500006086,PLATINUM GREEN,UNNATI HOMES INFRACON,440036,"('21.106608000000000','79.016668000000000')",On-Going Project,06/15/2017,12/31/2017,06/30/2018,Residential,2862.2,0.0,4973.45,06/30/2018,,,68.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,2.0,226.0,87.0
Nagpur,P50500009639,Shiv Elite Phase I,Om Shivam Buildcon Private Limited,441108,"('21.055139000000000','79.066096000000000')",On-Going Project,07/31/2018,07/31/2018,,Residential,13012.75,5170.2,16273.93,08/03/2018,,,296.0,296.0,0.0,0.0,0.0,0.0,8.0,1.0,62.0,0.0,0.0,148.0
Nagpur,P50500014329,SDPL Aashray Dabha,SANDEEP DWELLERS PVT. LTD.,440023,"('21.170424139496370','78.998000190591480')",New Project,09/30/2019,,,Residential,6944.5,1290.0,10416.87,10/05/2019,,,318.0,126.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,7.0,0.0,90.0
Nagpur,P50500012638,Construction of 14 Rowhouses at Waddhamna Nagpur,MHADA(Nagpur Board),441110,"('21.147448300000000','78.968405700000000')",On-Going Project,09/09/2016,12/31/2017,,Residential,1833.58,6827.96,1833.58,12/01/2018,,,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.0,1.0,1.0,2.0
Nagpur,P50500000774,"Construction of 29 HIG Bunglow at Waddhamna,Nagpur",MHADA(Nagpur Board),441110,"('21.073548800000000','78.961348600000000')",On-Going Project,01/31/2018,07/31/2018,,Residential,17327.42,7168.0,1780.89,11/16/2018,1.0,,31.0,31.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0
Nagpur,P50500007644,JANAI - BALAJI APARTMENTS,UNIQUE DEVELOPERS,440015,"('21.106452000000000','79.072725000000000')",On-Going Project,12/31/2018,12/31/2018,12/30/2021,Residential,2254.7,1083.81,5907.0,11/04/2020,,,54.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,30.0,24.0
Nagpur,P50500013013,NANIKS ASHTAVINAYAK VRINDAVAN,NANIK ASSOCIATES,440030,"('21.200683000000000','79.084103000000000')",New Project,12/31/2018,,,Residential,558.65,0.0,725.82,11/19/2018,,,16.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0,1.0
Nagpur,P50500004982,kASTURI HEIGHT,SKY DEVELOPERS AND PROMOTERS INDIA PVT. LTD.,440008,"('21.150653000000000','79.129451600000000')",On-Going Project,12/31/2021,12/30/2023,12/31/2026,Residential,3840.8,1820.96,5788.24,12/25/2023,,,96.0,67.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,2.0,102.0,2.0
Nagpur,P50500012509,HIBISCUS GARDEN,URICH GRACE INFRASTRUCTURE PVT LTD,441108,"('21.012487000000000','79.053322000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,6691.0,939.41,7853.0,07/28/2017,,,205.0,39.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,5.0,59.0,7.0
Nagpur,P50500006445,Bloomdale Building 04,Mahindra Bebanco Developers Limited,441108,"('21.042002000000000','79.036509000000000')",On-Going Project,09/30/2015,03/31/2018,,Residential,7224.46,978.28,8008.51,02/01/2023,3.0,5.0,84.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,46.0,38.0
Nagpur,P50500005448,Bloomdale Bloomdale 07,Mahindra Bebanco Developers Limited,441108,"('21.041740000000000','79.036553000000000')",On-Going Project,03/31/2020,09/30/2020,09/29/2022,Residential,7224.46,978.28,8008.51,07/02/2023,4.0,,84.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,54.0,30.0
Nagpur,P50500008536,Bloomdale Building 08,Mahindra Bebanco Developers Limited,441108,"('21.041805000000000','79.037136000000000')",On-Going Project,03/31/2016,03/31/2019,09/30/2020,Residential,9684.85,1311.44,10672.37,04/27/2022,4.0,1.0,140.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,94.0,46.0
Nagpur,P50500006483,Bloomdale Building 09,Mahindra Bebanco Developers Limited,441108,"('21.041655000000000','79.036126000000000')",On-Going Project,03/31/2018,03/31/2019,09/30/2020,Residential,8151.92,918.75,8974.58,02/01/2023,4.0,1.0,98.0,98.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,51.0,47.0
Nagpur,P50500007925,Bloomdale Row House 5,Mahindra Bebanco Developers Limited,441108,"('21.041871000000000','79.036522000000000')",On-Going Project,06/30/2017,11/30/2018,11/30/2019,Residential,927.99,125.66,788.61,04/27/2022,4.0,,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0
Nagpur,P50500007914,Bloomdale Row House 6,Mahindra Bebanco Developers Limited,441108,"('21.041590000000000','79.037499000000000')",On-Going Project,06/30/2017,11/30/2018,11/30/2019,Residential,927.99,125.66,788.61,04/27/2022,4.0,,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0
Nagpur,P50500008161,Bloomdale Row House 7,Mahindra Bebanco Developers Limited,441108,"('21.041520000000000','79.037848000000000')",On-Going Project,07/31/2019,07/31/2019,01/30/2021,Residential,927.99,125.66,788.61,04/27/2022,4.0,,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0
Nagpur,P50500007843,Bloomdale Duplex Home 3,Mahindra Bebanco Developers Limited,441108,"('21.042617000000000','79.036669000000000')",On-Going Project,09/30/2015,06/30/2018,09/15/2018,Residential,1255.79,170.05,1483.66,02/01/2023,4.0,,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0
Nagpur,P50500007215,Bloomdale Duplex Home 4,Mahindra Bebanco Developers Limited,441108,"('21.042697000000000','79.036149000000000')",On-Going Project,09/30/2016,12/31/2018,12/31/2019,Residential,1255.79,170.05,1483.66,06/08/2022,4.0,,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0
Nagpur,P50500009336,Bloomdale Duplex Home 6,Mahindra Bebanco Developers Limited,441108,"('21.042301000000000','79.037457000000000')",On-Going Project,03/31/2020,03/31/2020,03/30/2022,Residential,1255.79,170.05,1483.66,04/27/2022,4.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0
Nagpur,P50500012141,VEDANT EMERALD PHASE 2,NANIS BUILDCON PRIVATE LIMITED,440022,"('21.101171000000000','79.047829000000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,1305.05,0.0,1682.71,03/09/2018,,,30.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0
Nagpur,P50500000920,"Construction of 42 MIG Ts at Surabardi S.No.20/1,20/2",MHADA(Nagpur Board),440023,"('21.144379100000000','78.942966600000000')",On-Going Project,01/31/2018,07/31/2018,,Residential,5077.71,5908.0,2685.0,11/16/2018,,,38.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0,76.0,0.0,1.0,0.0
Nagpur,P50500000760,Anirudh Residency,Globe Associates,440024,"('21.110587000000000','79.113981000000000')",On-Going Project,03/15/2022,03/15/2023,,Residential,1899.66,0.0,2943.27,04/28/2023,,,100.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,5.0
Nagpur,P50500012639,"Construction of 320 flats under HIGHS at MHADA City Empress Mill No.-5, Subhash Road, Nagpur. Ph I",MHADA(Nagpur Board),440001,"('19.102542700000000','72.925430700000000')",On-Going Project,12/15/2012,07/31/2018,,Residential,13521.93,0.0,21691.0,12/19/2022,22.0,,320.0,314.0,0.0,0.0,0.0,2.0,2.0,2.0,22.0,2.0,0.0,2.0
Nagpur,P50500000300,PIONEER TULIP,Tarangan Infraventures Private Limited,440016,"('21.106530000000000','79.022042000000000')",On-Going Project,04/09/2020,03/31/2019,,Residential,2808.37,0.0,5061.4,08/14/2021,,,88.0,88.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,56.0,32.0
Nagpur,P50500011007,"EMPRESS ROYAL A, B, C, D",BEACON REALCON PVT LTD,440018,"('21.147623000000000','79.092790000000000')",On-Going Project,12/31/2024,12/30/2025,,Residential,7178.0,0.0,16561.32,01/17/2023,,,176.0,150.0,0.0,0.0,0.0,4.0,4.0,4.0,36.0,0.0,40.0,160.0
Nagpur,P50500012169,EMPRESS DREAMS,KAUSHAL LOGISTICS PRIVATE LIMITED,440018,"('21.147368000000000','79.092165000000000')",On-Going Project,12/31/2024,12/30/2025,,Residential,3589.0,0.0,8453.37,04/26/2023,,3.0,137.0,128.0,0.0,0.0,0.0,2.0,2.0,2.0,24.0,2.0,20.0,80.0
Nagpur,P50500009773,EMPRESS ROYAL EFGH,VIGNAHARTA CORRUGATORS PVT LTD,440018,"('21.147725000000000','79.094756000000000')",On-Going Project,12/31/2024,12/30/2025,,Residential,7178.0,0.0,16460.61,07/29/2017,,,170.0,176.0,0.0,0.0,0.0,4.0,4.0,4.0,36.0,4.0,40.0,160.0
Nagpur,P50500000792,Construction of 240 T/S under LIG,MHADA(Nagpur Board),440023,"('21.147448300000000','78.968405700000000')",On-Going Project,07/30/2018,07/30/2018,,Residential,14478.64,6827.96,14478.64,12/01/2018,,,240.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,8.0,0.0
Nagpur,P50500011849,BALAJI,BALAJI KRUPA REALESTATE AND DEVLOPERS,441203,"('20.881284800000000','79.311345700000000')",On-Going Project,12/30/2022,12/30/2022,,Residential,2177.9,13862.48,1908.18,06/13/2023,,,48.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,16.0,0.0
Nagpur,P50500001612,Siddhivinayak Appartment,Vijay Construction & Developers,440034,"('21.075210800000000','79.077215900000000')",On-Going Project,06/30/2019,08/31/2019,,Residential,2292.0,400.0,3362.0,07/17/2019,,,12400.0,406.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,14.0,1.0
Nagpur,P50500001454,SHIVARPAN,Raghuveer Constructions,440008,"('21.096893000000000','79.082606000000000')",On-Going Project,03/31/2018,03/31/2018,03/31/2019,Residential,459.73,264.26,755.83,09/15/2023,,,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,11.0,1.0
Nagpur,P50500000429,PIONEER TAMARIND COURT- PLOT NO.3,Tarangan Infraventures Private Limited,440005,"('18.518750000000000','73.931123000000000')",On-Going Project,03/31/2020,12/31/2019,10/30/2020,Residential,3371.71,0.0,4199.73,08/15/2021,,,150.0,149.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,1.0,110.0,1.0
Nagpur,P50500010251,SHALWAK ELITE,SHALWAK INFRABULLS,440012,"('21.134520000000000','79.083735000000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,610.4,610.4,1110.4,06/07/2021,,,12.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,34.0,1.0
Nagpur,P50500000856,KASTURI APPARTMENTS,SKY DEVELOPERS AND PROMOTERS INDIA PVT. LTD.,441501,"('21.233813000000000','78.905825000000000')",On-Going Project,06/30/2019,12/31/2019,12/30/2021,Residential,1997.35,0.0,2383.33,07/19/2019,,,41.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,96.0
Nagpur,P50500001173,AVISHKAR RESIDENCY,SHREE DYC REALITIES PVT. LTD.,440013,"('21.183191000000000','79.049389000000000')",New Project,05/31/2019,,,Residential,883.32,14.94,1148.3,08/07/2018,,,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,5.0,1.0
Nagpur,P50500002554,"Constuction of 56 flats under EWS and 21 LIG at S.No. 11-12/3 at Mouza- Wanjara, Nagpur",MHADA (Nagpur Board),440026,"('18.508311200000000','73.790868400000000')",On-Going Project,04/30/2017,04/30/2022,,Residential,2466.0,0.0,6165.0,07/20/2022,,,133.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,2.0,10.0,2.0
Nagpur,P50500000975,HARIHAR NAGAR ZARI PHASE - I,HARIHAR BUILDSPACE PRIVATE LIMITED,441108,"('21.004494000000000','79.058392000000000')",On-Going Project,10/31/2020,10/30/2021,,Residential,35000.0,5000.0,15651.85,01/16/2024,,,162.0,26.0,0.0,0.0,0.0,0.0,161.0,0.0,161.0,0.0,0.0,0.0
Nagpur,P50500001369,Royal Crest,Navabharat Infraventures Ltd.,440001,"('21.132393000000000','79.081687000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,1692.0,100.0,3200.61,01/02/2018,,,46.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,1.0,25.0,0.0
Nagpur,P50500001002,Jayanti Nagari - VI,Abhijit Realtors & Infraventures Pvt Ltd,440034,"('21.089487000000000','79.084948000000000')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Residential,8384.23,1201.42,11594.29,12/31/2021,,,136.0,136.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,5.0,8.0,77.0
Nagpur,P50500000638,SHRIRAM SAHANIWAS,HIMALAYA DWELLERS PRIVATE LIMITED,440010,"('21.137252900000000','79.058856000000000')",New Project,12/30/2020,,06/30/2022,Residential,1830.0,0.0,2287.0,09/01/2021,,,46.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,10.0,10.0
Nagpur,P50500001509,JP RADIANCE,JAGDISHPRASAD HANUMNMAL SHARMA,441110,"('21.070738000000000','78.971782000000000')",On-Going Project,12/31/2017,12/31/2017,12/31/2018,Residential,2186.0,0.0,2673.0,07/03/2020,,,67.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,70.0,23.0,36.0
Nagpur,P50500002283,JP NAKSHTRA 1B,JAGDISHPRASAD HANUMNMAL SHARMA,441110,"('21.069680000000000','78.972363000000000')",On-Going Project,03/31/2018,03/31/2018,03/31/2019,Residential,567.0,0.0,529.0,07/03/2020,,,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0
Nagpur,P50500001703,JP NAKSHTRA 3B,JAGDISHPRASAD HANUMNMAL SHARMA,441110,"('21.069650000000000','78.972782000000000')",On-Going Project,03/31/2018,03/31/2018,03/31/2019,Residential,547.0,0.0,529.0,07/03/2020,,,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0
Nagpur,P50500001929,Amrit Kalash,Raghukul Constructions Pvt. Ltdd,440010,"('21.139145000000000','79.067234000000000')",On-Going Project,09/30/2018,03/31/2019,,Residential,1114.82,0.0,1833.04,05/21/2019,,,28.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,9.0,19.0
Nagpur,P50500001628,Amrit Sarita,Raghukul Constructions Pvt. Ltdd,440010,"('19.153823100000000','72.875178600000000')",On-Going Project,06/30/2018,12/31/2019,,Residential,1170.4,0.0,1924.22,08/18/2021,,,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,21.0
Nagpur,P50500002136,Rachana 24 Carat,Rachana construction Co. (Nagpur) Pvt. Ltd.,440010,"('16.989961200000000','73.328759300000000')",On-Going Project,08/26/2017,08/26/2018,02/26/2021,Residential,1114.83,0.0,1983.84,02/07/2022,,,16.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,32.0
Nagpur,P50500001342,"Daffodil Highs, Unity Studio Apartments and Eternity Villa",FIRE Arcor Infrastructure Private Limited,441122,"('21.015546000000000','79.008011000000000')",On-Going Project,12/31/2026,12/30/2027,,Residential,10601.0,0.0,20088.0,10/13/2023,,,251.0,73.0,0.0,0.0,0.0,0.0,9.0,0.0,50.0,4.0,202.0,54.0
Nagpur,P50500003714,Neel Vihar Wing c,Neel Gagan Developers,440034,"('21.087471000000000','79.134924000000000')",On-Going Project,12/31/2017,06/30/2018,,Residential,2045.0,0.0,2447.0,04/25/2018,,,51.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,101.0,1.0,0.0
Nagpur,P50500004036,Pyramid City 6,Pyramid Ashok Megastructures Pvt.Ltd,440037,"('21.083229000000000','79.106831000000000')",On-Going Project,10/30/2017,12/30/2022,,Residential,21200.0,2086.0,13922.0,05/26/2018,,,256.0,196.0,0.0,0.0,0.0,0.0,6.0,0.0,37.0,3.0,174.0,22.0
Nagpur,P50500012134,SWAPNIL PARIJAT,SWAPNIL PROMOTERS AND DEVELOPERS PRIVATE LIMITED,440010,"('21.137479000000000','79.057448000000000')",On-Going Project,12/20/2018,12/20/2018,10/30/2020,Residential,1948.03,0.0,0.0,07/28/2017,,2.0,24.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,10.0,14.0
Nagpur,P50500003259,K-SQUARE APARTMENTS,ANKIT CONSTRUCTION,440015,"('21.104287000000000','79.077098000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,2402.19,800.73,4898.66,02/08/2022,,27.0,82.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,42.0,42.0
Nagpur,P50500004416,Pyramid City 3,Pyramid Ventures India Pvt Ltd,440010,"('21.083257000000000','79.107382000000000')",On-Going Project,04/01/2017,12/31/2017,,Residential,13000.0,1304.0,14384.0,08/08/2017,,,203.0,203.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,3.0,104.0,54.0
Nagpur,P50500001801,Shree Durga Apartment,Mittal Developers,440035,"('21.146986000000000','79.161046000000000')",On-Going Project,03/31/2020,09/30/2020,,Residential,1930.0,0.0,4303.0,07/27/2017,,,48.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500001307,Rachana Sahira Wing A,Rachana construction Co. (Nagpur) Pvt. Ltd.,440005,"('21.060035000000000','79.056600000000000')",On-Going Project,10/31/2018,10/31/2018,10/31/2019,Residential,4264.93,4004.68,5045.25,02/07/2022,,1.0,80.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,18.0,24.0
Nagpur,P50500001330,Tulip,LEVERAGE INFRASTRUCTURES PRIVATE LIMITED,440001,"('18.505242800000000','73.766112900000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,4284.0,0.0,6699.0,03/12/2023,,1.0,73.0,73.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,3.0,236.0,22.0
Nagpur,P50500002215,ATHARVA VILLAMENTS,ATHARVA INFRASTRUCTURES,440034,"('21.075521000000000','79.119847000000000')",On-Going Project,09/30/2018,09/30/2018,,Residential,612.89,0.0,736.89,02/07/2020,,,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500001987,ATHARVA CASTLE,ATHARVA INFRASTRUCTURES,440034,"('21.077694000000000','79.120272000000000')",On-Going Project,09/30/2018,09/30/2018,,Residential,1659.86,0.0,1764.92,02/07/2020,,,24.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500001582,LAXMI NARAYAN RESIDENCY,SUDARSHAN LAND AND DEVELOPERS,440015,"('21.111700200000000','79.072979300000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,446.0,0.0,837.0,03/30/2019,,,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0
Nagpur,P50500012737,OLIVE SILLARI,CHANDRAPAL NATHUSAO CHOUKASEY,440010,"('21.543432000000000','79.334365000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,46500.0,4665.0,3571.6,06/22/2019,,,38.0,15.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0
Nagpur,P50500012118,KRISHNA ANANDAM 2,KRISHNA CONSTRUCTIONS,440033,"('21.104333000000000','79.034198000000000')",On-Going Project,12/31/2020,12/30/2021,,Residential,517.73,0.0,646.81,03/19/2019,,,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500008777,HAPPY RISE,Happy Spaces,440012,"('21.137135000000000','79.057142000000000')",New Project,12/31/2019,,,Residential,1049.79,0.0,1729.19,01/28/2020,,,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,14.0
Nagpur,P50500006837,Pyramid City 4,Pyramid Ventures India Pvt.Ltd,440037,"('18.581746900000000','73.981705600000000')",On-Going Project,03/31/2018,06/30/2018,,Residential,20000.0,1995.0,14384.0,08/13/2021,,,224.0,220.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0,5.0,86.0,126.0
Nagpur,P50500002805,Manjusha Regalia,Subhash Motiram Kasulkar,440036,"('19.693558100000001','72.765518400000005')",On-Going Project,12/31/2020,12/30/2021,,Residential,1244.43,0.0,1639.47,08/06/2020,,,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500024950,Ratneshwar Enclave,M/s Vanshika Developers & Promoters,440025,,New Project,06/30/2021,,06/30/2022,Residential,474.0,0.0,614.96,08/11/2021,,,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0
Nagpur,P50500002582,ORBITAL EMPIRE,GUDADHE HOUSING DEVELOPERS AND PROMOTERS,440036,"('21.104868512482980','79.014919565057430')",On-Going Project,12/31/2020,02/28/2022,,Residential,5405.0,2042.0,7621.0,02/26/2022,,,128.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,2.0,32.0,36.0
Nagpur,P50500012082,SUMAN VATIKA,SUNIL VISHWAMBARNATH TIWARI,440026,"('18.533598900000000','73.830426900000000')",On-Going Project,08/30/2017,12/30/2018,06/30/2022,Residential,1500.0,0.0,1875.0,06/15/2019,,1.0,36.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50400002587,MAA VAISHNAVI RESIDENCY - FLATS,MAA VAISHNAVI REAL ESTATE,441203,"('20.847655300000000','79.323933100000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,2632.51,434.48,2152.78,09/12/2018,,,28.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0
Nagpur,P50500002523,Mahalaxmi City Phase I,Gruhlaxmi Life Space Private LImited,441111,"('21.228199700000000','79.066624100000000')",On-Going Project,05/10/2017,11/30/2020,05/29/2022,Residential,5368.24,5244.18,11657.22,03/19/2020,,,84.0,84.0,0.0,0.0,0.0,0.0,18.0,0.0,30.0,0.0,84.0,0.0
Nagpur,P50500006831,OM ATHARVA APARATMENT,SUDHIR BABURAO KALE,441111,"('18.623907900000000','73.812498400000000')",On-Going Project,07/31/2018,07/31/2018,,Residential,1500.0,0.0,1793.0,08/29/2018,,,32.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,32.0
Nagpur,P50500004826,LA REGALIA,RAGHAV LIFESPACES,440010,"('21.137887000000000','79.074372000000000')",On-Going Project,04/30/2019,12/31/2018,,Residential,1114.8,0.0,2220.28,04/20/2019,,,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0
Nagpur,P50500006587,RADHE GREENS,HBK Infrastructures,441304,"('21.081199000000000','79.003902800000000')",On-Going Project,08/31/2018,07/31/2018,07/31/2019,Residential,13400.0,1340.06,6071.0,07/30/2017,,,182.0,46.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,2.0,19.0,2.0
Nagpur,P50500004473,HINGNA CITY,VIDARBHA BUILDERS,441110,"('21.073548800000000','78.961348600000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,2376.31,0.0,3134.0,04/29/2019,,,59.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,9.0,0.0
Nagpur,P50500002678,DEVIPRABHA GAURAV,DEVIPRABHA BUILDERS AND DEVELOPERS,440022,"('19.097571100000000','72.903237000000000')",On-Going Project,12/31/2017,12/31/2017,,Residential,432.0,0.0,426.0,07/28/2017,,,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0,1.0
Nagpur,P50500003103,Vedaarya Homes,Additya Infrastructure,441108,"('17.691727800000000','75.882476500000000')",On-Going Project,12/31/2018,12/31/2018,12/31/2019,Residential,11995.0,1188.58,12100.0,09/18/2021,,,224.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,2.0,0.0,2.0
Nagpur,P50500003054,SHRIKRISHNA ENCLAVE A WING 1,SHRIKRISHNA INFRASTRUCTURE,440010,"('17.003441200000000','73.358159100000000')",On-Going Project,11/13/2016,02/28/2021,,Residential,1967.0,0.0,810.0,08/01/2017,,,18.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,24.0,1.0
Nagpur,P50500002555,SHRIKRISHNA ENCLAVE DUPLEX PHASE 1,SHRIKRISHNA INFRASTRUCTURE,440010,"('21.137252900000000','79.058856000000000')",On-Going Project,05/15/2017,01/16/2018,,Residential,1967.0,0.0,560.0,07/25/2017,,,12.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,3.0,0.0,33.0
Nagpur,P50500001804,Anoushka Gardens,Raghav Construction,440015,"('21.111700200000000','79.072979300000000')",On-Going Project,02/01/2020,02/01/2020,,Residential,547.2,0.0,905.82,03/26/2018,,,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,9.0
Nagpur,P50500013132,Imperial Heights,Swaraj and Mohta infracon,440004,"('19.042560400000000','72.863808900000000')",On-Going Project,01/17/2016,06/18/2018,02/29/2024,Residential,1357.0,0.0,2571.1,08/10/2017,,,20.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,12.0,1.0
Nagpur,P50500003311,Pyramid City 2,Pyramid Ventures India Pvt Ltd,441108,"('21.020271800000000','79.049145000000000')",On-Going Project,03/31/2016,12/31/2017,,Residential,16100.0,3599.0,14014.0,08/01/2017,,,146.0,132.0,0.0,0.0,0.0,0.0,6.0,0.0,44.0,6.0,48.0,108.0
